"Date","Price","Open","High","Low","Change %"
"Jun 25, 2021","0.420","0.405","0.420","0.405","3.70%"
"Jun 24, 2021","0.405","0.386","0.405","0.386","4.92%"
"Jun 23, 2021","0.386","0.386","0.386","0.386","-11.47%"
"Jun 22, 2021","0.436","0.436","0.436","0.436","2.83%"
"Jun 21, 2021","0.424","0.424","0.424","0.424","-2.53%"
"Jun 18, 2021","0.435","0.435","0.435","0.435","-3.33%"
"Jun 17, 2021","0.450","0.450","0.450","0.450","0.00%"
"Jun 16, 2021","0.450","0.450","0.450","0.450","11.11%"
"Jun 15, 2021","0.405","0.405","0.405","0.405","0.00%"
"Jun 14, 2021","0.405","0.405","0.405","0.405","0.00%"
"Jun 11, 2021","0.405","0.400","0.405","0.400","1.25%"
"Jun 10, 2021","0.400","0.420","0.420","0.400","-4.76%"
"Jun 09, 2021","0.420","0.405","0.420","0.405","3.70%"
"Jun 08, 2021","0.405","0.395","0.405","0.395","2.53%"
"Jun 07, 2021","0.395","0.410","0.410","0.395","-3.66%"
"Jun 04, 2021","0.410","0.415","0.415","0.410","-1.20%"
"Jun 03, 2021","0.415","0.420","0.420","0.415","-1.19%"
"Jun 02, 2021","0.420","0.415","0.420","0.415","1.20%"
"Jun 01, 2021","0.415","0.410","0.415","0.410","1.22%"
"May 31, 2021","0.410","0.415","0.415","0.410","-1.20%"
"May 28, 2021","0.415","0.410","0.415","0.410","1.22%"
"May 27, 2021","0.410","0.435","0.435","0.410","-5.75%"
"May 26, 2021","0.435","0.440","0.440","0.435","-1.14%"
"May 25, 2021","0.440","0.425","0.440","0.425","3.53%"
"May 24, 2021","0.425","0.435","0.435","0.425","-2.30%"
"May 21, 2021","0.435","0.425","0.435","0.425","2.35%"
"May 20, 2021","0.425","0.430","0.430","0.425","-1.16%"
"May 19, 2021","0.430","0.415","0.430","0.415","3.61%"
"May 18, 2021","0.415","0.400","0.415","0.400","3.75%"
"May 17, 2021","0.400","0.410","0.410","0.400","-2.44%"
"May 14, 2021","0.410","0.415","0.415","0.410","-1.20%"
"May 13, 2021","0.415","0.395","0.415","0.395","5.06%"
"May 12, 2021","0.395","0.395","0.395","0.395","0.00%"
"May 11, 2021","0.395","0.395","0.395","0.395","0.00%"
"May 10, 2021","0.395","0.390","0.395","0.390","1.28%"
"May 07, 2021","0.390","0.390","0.390","0.390","0.00%"
"May 06, 2021","0.390","0.395","0.395","0.390","-1.27%"
"May 05, 2021","0.395","0.385","0.395","0.385","2.60%"
"May 04, 2021","0.385","0.390","0.390","0.385","-1.28%"
"May 03, 2021","0.390","0.390","0.390","0.390","0.00%"
"Apr 30, 2021","0.390","0.390","0.390","0.390","0.00%"
"Apr 29, 2021","0.390","0.395","0.395","0.390","-1.27%"
"Apr 28, 2021","0.395","0.390","0.395","0.390","1.28%"
"Apr 27, 2021","0.390","0.390","0.390","0.390","0.00%"
"Apr 26, 2021","0.390","0.390","0.390","0.390","0.00%"
"Apr 23, 2021","0.390","0.385","0.390","0.385","1.30%"
"Apr 22, 2021","0.385","0.385","0.385","0.385","0.00%"
"Apr 21, 2021","0.385","0.385","0.385","0.385","2.67%"
"Apr 20, 2021","0.375","0.370","0.375","0.370","1.35%"
"Apr 19, 2021","0.370","0.370","0.370","0.370","0.00%"
"Apr 16, 2021","0.370","0.375","0.375","0.370","-1.33%"
"Apr 15, 2021","0.375","0.375","0.375","0.375","0.00%"
"Apr 14, 2021","0.375","0.395","0.395","0.375","-5.06%"
"Apr 13, 2021","0.395","0.390","0.395","0.390","1.28%"
"Apr 12, 2021","0.390","0.405","0.405","0.390","-3.70%"
"Apr 09, 2021","0.405","0.415","0.415","0.405","-2.41%"
"Apr 08, 2021","0.415","0.420","0.420","0.415","-1.19%"
"Apr 07, 2021","0.420","0.430","0.430","0.420","-2.33%"
"Apr 06, 2021","0.430","0.425","0.430","0.425","1.18%"
"Apr 05, 2021","0.425","0.425","0.425","0.425","0.00%"
"Apr 02, 2021","0.425","0.425","0.425","0.425","0.00%"
"Apr 01, 2021","0.425","0.415","0.425","0.415","2.41%"
"Mar 31, 2021","0.415","0.405","0.415","0.405","2.47%"
"Mar 30, 2021","0.405","0.395","0.405","0.395","2.53%"
