,abnormal_returns,t-1~t CAR,t-2~t CAR,t-3~t CAR,t-3~t+1 CAR,t-3~t+2 CAR,t-3~t+3 CAR,t~t+1 CAR,t~t+2 CAR,t~t+3 CAR,FX factor,Electronic Parts and Components Manufacturing,Semi-conductors Manufacturing,Others,Optoelectronic Materials and Components Manufacturing,Computers and Peripheral Equipment Manufacturing ,Building Materials Construction,"Power Generation, Transmission and Distribution Machinery Manufacturing",Textiles Mills,Information and Communications Technology,Medical Materials and Supplies Manufacturing,Other Electronic Parts and Components Manufacturing ,Motor Vehicles Manufacturing,Basic Iron and Steel Manufacturing,Chemical Products Manufacturing,Shipping Business,Food Manufacturing,Plastic Products Manufacturing,Department Industry,Electronic Distribution Industry,Tourist Industry,Electrical Cable Industry,Financial Holdings Industry,Information Services Industry,Rubber Products Manufacturing,Banking Industry,Paper Industry,"Oil, Electricity and Gas Industry",Cement and Cement Products Manufacturing,Insurance Industry,Glass and Glass Products Manufacturing,Securities Industry,Renewable energy usage rate of listed companies,Greenhouse gas emission intensity,Close Price,Turnover ratio％,Foreign trading ratio ,Financing balance(amount),Net buy_sell by foreign capital,Net buy_sell by dealer,Net buy_sell days by foreign capital,Institutional investor transaction rate,Outstanding shares (million),Foreign investor cumulative overbought_oversold ,Financing balance_Short sales balance(amount),Cumulative net buy_sell by investment trust,Short sales use ratio,Financing balance_Short sales balance(ratio),Net Buy_Sell by Investment Trust,Net buy_sell days by dealer,Net buy_sell,Short sales balance(amount),Increased financing(amount),cumulative net buy_sell by dealer,Institutional investor Trading days  ,Institutional investor cumulative overbought_oversold ,common stock trading ratio ,Financing balance(thousand yuan),Financing use ratio,Investment trust Trading days  ,Ratio of Margin Trading , Short Sale _ Margin Purchase Ratio,Short sales balance(thousand yuan),Increased short sales(amount),Ratio of dealer transactions,Investment Trust trading ratio,Cash Flow From Operating Activities ,PB ratio,Quick ratio ,Treasury stocks book value ,Cash and Cash equivalents ,PE ratio ,Loan from bank(non-current),Operating margin ratio,Other equity interest ,AR,Goodwill and intangible assets ,Other Comprehensive Income (OCI),Inventory,Dividend Payout Ratio,ROE,Cash Flow from Financing Activities ,Interest income ,cash flow ratio,Gross Profit ratio,Cost of revenue,Market Value,(Inventory+AR) divided by Net income,Operating expenses,Tax rate(A),AR turnover,cash dividend ratio ,Dividend Yield ,Non-current assets ,Asset Growth Rate,ROA,Profit before tax ratio,Other long-term debt (Non-current),R&D,lease liabilities (Non current),Non-current liability ,Operating income,Cash Flow From Investing Activities ,retained earning ,AP,current ratio,current liability ,debt ratio ,Profit after tax ratio,Operating revenue(net),current asset,Interest-bearing debt ratio ,effect of exchange rates ,Proportion of supervisors with doctoral degrees,Number of general manager changes in the month,Average attendance of Chairman of the Board,Employee turnover rate,Percentage of directors and supervisors with masters degrees,Directors average hours of study,Number of changes in chairmanship for the month,Reinvestment to net value ratio,Number of directors and supervisors with financial experience,Sales percentage to related parties,equity of stock holdings (Major shareholder),Average attendance of the Board of Directors,Employee bonus cash,tockholding of Directors and Supervisors,Directors liability insurance coverage to revenue percentage,Managers shareholding,Reinvestment to assets ratio,Directors liability insurance coverage to net value percentage,Percentage of directors and supervisors with a bachelors degree,Employee bonus to net income before tax ratio,Total social responsibility events,Number of Underwriting Insurance Companies,Management Internalization ratio,Number of Board Meetings,Directors liability insurance coverage to total assets percentage,Employee bonus shares,Directors salary,Internal audit variation in the current month,Directors liability insurance coverage,company age,A,F,G,M
6216,0.0313152466218656,0.0278026831696494,0.0255079325877368,0.0586057115007705,0.0271515485647944,0.0308747487434697,0.0395270286914678,-0.0001389163141105,0.0035842838645647,0.0122365638125628,0.0012153749728745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.801,24.2,0.44,16.72,136.0,-34.0,0.0,-2.0,16.72,87.0,-47.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.0,0.0,3.0,0.0,-2.0,-56.0,83.27,3320.41,0.62,0.0,0.01,0.0,0.0,0.0,0.0,0.0,58225,1.4,576.47,0,346811,15.49,0,18.17,-9530,139331,0,-5040,181806,93.76,4.15,13177,7245,23.73,49.95,215251,2220668,20.23,136634,15.94,6.35,5.86,5.86,232587,2.28,3.67,19.15,0,84412,0,953,78156,-5485,508006,88663,652.49,245336,13.43,16.1,430041,1600787,0,-6299,11.11,0,87.5,5,66.67,6,0,0.05,0,0,11.02,79.17,20.73,20.03,2.99,5.38,0.04,1.76,66.67,12.12,0,1,50,8,1.57,0,1.45,0,27.85,16.0,0,0,0,1
6226,0.0764260406332029,0.0454346958095907,0.0448085149902436,0.1390858188161267,0.031614489886806,0.0023407619781194,0.0293254171848134,-0.0310452882961178,-0.0603190162048043,-0.0333343609981104,0.0066486933263591,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.71,1.41,31.9,5544.0,-110.0,-1.0,-1.0,32.15,115.0,-110.0,3.0,0.0,0.01,0.21,0.0,-3.0,-111.0,3.0,0.0,-46.0,-2.0,-116.0,67.56,44136.89,19.29,0.0,0.29,0.05,23.88,0.0,0.25,0.0,48012,0.92,69.71,-33492,333201,0.0,163981,4.93,-140567,290560,6610,-18247,810185,0.0,-0.46,-43119,285,5.02,35.77,285902,1065596,86.93,137317,21.8,3.17,0.0,0.0,1104839,9.83,-0.22,3.55,0,20319,0,483581,21930,3716,145517,134757,167.5,955493,53.19,2.77,445149,1600468,0.9,-16260,33.33,0,100,9,11.11,0.22,0,30.23,1,0,8.41,93.65,0.05,12.25,8.94,0.03,14.15,6.47,11.11,8.78,0,1,50.0,7,3.03,0,0.01,0,83.61,12.0,0,1,0,0
6230,-0.1020653473914014,-0.1424007495271043,-0.1294462464050874,-0.0295654705658316,-0.0385161879032002,-0.0390513958236387,-0.0191005190974209,-0.11101606472877,-0.1115512726492085,-0.0916003959229907,0.0008466712815724,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,208.0,4.22,50.0,538.0,502.0,2.0,13.0,50.77,86.0,1362.0,0.0,0.0,0.03,0.0,0.0,1.0,504.0,6.0,0.0,2.0,13.0,1335.0,49.17,108000.76,2.49,0.0,0.07,1.12,1204.47,0.0,0.77,0.0,626062,3.93,133.18,0,2316189,21.04,668640,6.33,-284666,2775754,32478,-57575,1974862,15.06,3.66,332896,6487,16.36,18.58,3911702,18002516,103.78,588756,31.88,3.2,0.65,0.65,2509368,27.32,1.78,6.79,0,210358,47026,1370844,304065,-377179,3466882,3023169,189.84,3827930,53.18,4.63,4804523,7266879,0.45,-40254,0.0,0,100,13,33.33,7.33,0,0.7,3,20,3.64,96.83,14.1,84.36,0.75,0.0,0.33,1.78,33.33,3.11,0,1,0,7,0.79,0,2.39,0,82.92,10.0,0,0,0,1
6235,0.0709652873854221,0.0733212244240558,0.0868338853325399,0.1766059863085217,0.0675740883772198,0.0491122921526797,0.0772506463342038,-0.0380666105458798,-0.0565284067704199,-0.0283900525888958,0.0029052295040602,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,1.32,34.69,5932.0,782.0,2.0,1.0,34.75,170.0,782.0,0.0,0.0,0.02,0.0,0.0,1.0,784.0,7.0,0.0,2.0,1.0,784.0,65.05,93845.43,13.95,0.0,0.2,0.12,110.74,0.0,0.06,0.0,194951,1.39,67.98,0,754086,13.98,10000,4.1,-107171,729855,0,-23411,493851,31.52,1.47,86350,1155,8.62,24.33,983981,3233041,52.57,263085,22.86,3.41,3.15,3.15,2399615,21.54,0.75,5.77,0,65617,1107,96901,53284,-411734,671284,575937,101.11,2260709,50.32,4.45,1300350,2285761,0.68,-27991,22.22,0,100,0,55.56,9.0,0,0.0,1,0,14.49,94.12,5.63,26.69,4.96,0.81,0.0,5.67,55.56,3.07,0,1,0,9,2.73,0,2,0,139.98,16.0,0,1,0,0
6239,0.0284938648189939,-0.0058958688491147,-0.0255033463801804,0.0276623446772255,-0.0127982430251201,-0.0318489445256463,-0.0231583058787626,-0.0119667228833518,-0.031017424383878,-0.0223267857369943,0.0019659409075806,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,96.3,0.65,51.94,1950.0,-817.0,-55.0,-1.0,53.03,779.0,-817.0,2.0,325.0,0.01,0.04,17.0,-2.0,-855.0,19.0,15.0,-58.0,-1.0,-855.0,46.91,188991.47,1.0,8.0,0.06,0.97,1841.46,3.0,0.91,0.18,11163336,1.83,174.79,-303038,22924387,7.27,28502175,16.68,-613691,16422107,985608,-331297,5430821,58.01,8.33,-4064951,23881,48.19,22.33,30329260,83758195,37.56,2209133,20.61,5.01,4.65,4.65,63182498,-0.09,4.4,16.73,0,1192117,1398876,30430503,6511694,-4975129,38597233,5892043,209.79,23165405,47.95,13.28,39050087,48598173,0.45,-218681,18.18,0,100,6,54.55,5.18,0,0.95,2,29,20.84,96.97,600.64,5.9,0.99,0.58,0.49,1.32,54.55,5.8,0,2,0,6,0.7,0,120.13,0,833.16,16.0,0,0,0,1
6243,0.0747889056957645,0.0815652720412969,0.0641136562264518,0.1532197755755691,0.0447225813108656,0.0160415559891019,0.043935777621537,-0.0337082885689389,-0.0623893138907026,-0.0344950922582674,0.0156774024529932,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,13.55,1.8,29.02,0.0,330.0,0.0,5.0,29.02,75.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,5.0,882.0,70.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11039,2.65,88.59,0,150188,0.0,7273,6.26,-4881,213417,706,-39,168764,73.5,4.4,-49359,381,2.69,28.7,285716,1218360,83.05,89911,0,3.98,0.0,0.0,44810,2.53,2.26,4.96,0,28985,5667,12970,25093,488,-366672,107273,204.36,410446,47.92,4.96,400720,838787,0.51,-39,22.22,0,100,9,33.33,6.89,0,0.0,3,12,3.89,95.06,14.81,7.21,24.01,0.88,0.0,26.36,33.33,25.97,0,1,0,9,18.29,0,2.22,0,198.52,11.0,0,0,0,1
6257,0.055344685957934,0.0425936402841751,0.025608686283247,0.0786128134316491,-0.0062297368887763,-0.0070222723976603,0.0249789354329093,-0.0294978643624914,-0.0302903998713754,0.0017108079591941,-0.0087687416355213,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,44.95,1.95,20.68,13501.0,-613.0,-263.0,-10.0,26.82,443.0,-13162.0,1.0,-417.0,0.09,0.01,-417.0,-2.0,-1293.0,96.0,0.0,-460.0,-6.0,-7278.0,73.02,611664.16,12.2,-1.0,0.15,0.71,4349.29,0.0,3.6,2.55,5924896,1.83,135.18,0,5530625,9.02,4964815,20.73,398176,4016419,309946,88179,321928,49.13,9.25,1273330,15523,68.46,29.64,5424273,24900064,27.41,687024,17.29,4.21,5.13,5.13,20877340,26.6,4.48,20.94,0,194365,528922,9263285,1598447,-7355778,7742827,481200,148.71,8654096,53.09,17.32,7709744,12869617,0.66,59502,0,0,100.0,0,44.44,6.0,0,8.59,1,0,12.35,100.0,353.0,5.29,1.66,3.1,4.03,1.56,44.44,10.68,0,1,5.88,8,0.76,0,40,0,277.5,17.0,0,0,0,1
6269,-0.0076372377401206,-0.029942382955778,-0.0448117539154077,-0.0041014973667334,-0.0259874656682334,-0.0363972303374449,0.0089771629903935,-0.0295232060416206,-0.0399329707108321,0.0054414226170063,-0.000512665950584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,113.5,1.73,30.07,12517.0,-695.0,-213.0,-4.0,33.17,362.0,-2118.0,6.0,1.0,0.12,0.1,1.0,-2.0,-907.0,113.0,0.0,-224.0,-4.0,-2585.0,66.63,1377654.82,13.83,1.0,0.2,0.9,12437.09,12.0,3.09,0.01,1155241,2.09,208.65,-1131818,6953516,14.98,3900000,5.01,-596816,5741962,16697,-101102,4501096,0,2.18,3203864,88271,9.82,15.83,11936729,48762270,43.9,1535653,22.8,4.31,3.66,3.66,14109393,21.76,1.24,5.79,0,1109156,19404,8390418,709864,-6529649,18365591,4071366,249.8,11759613,46.34,4.47,14182246,29375530,0.27,1496,27.27,0,100,26,27.27,3.55,0,0.24,1,0,21.87,98.18,83,6.74,0.63,0.61,0.13,0.87,27.27,2.28,0,1,10.0,5,0.46,0,20,0,223.73,17.0,0,0,0,1
6277,0.0126276302203772,0.0068602788916366,0.002479171274818,0.0301236675831876,0.0146771996593387,0.0215041367658143,0.0288952513100938,-0.0028188377034716,0.0040080994030039,0.0113992139472834,0.0010737308810397,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798,81.8,0.32,35.44,219.0,4.0,1.0,3.0,35.59,119.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,3.0,23.0,64.35,17912.21,0.73,0.0,0.06,0.0,0.0,0.0,0.15,0.0,494590,2.17,162.07,0,923416,12.35,38978,15.45,-189465,731140,11997,-66448,997480,97.48,4.99,-306801,513,22.25,58.64,1014315,10131141,36.53,1059085,24.81,6.54,6.49,6.49,2843761,-6.22,3.18,16.57,0,247809,113402,587158,378735,-167028,3343014,392094,211.33,2223155,37.26,12.46,2452135,4698177,0.82,-39247,30,0,100,11,40,8.9,0,0.52,1,0,22.77,93.33,129.87,12.84,1.62,2.36,0.33,1.76,40,15.83,0,1,10.53,6,1.15,0,11.54,0,83.61,17.0,0,1,0,0
6278,0.0404268761524257,0.0273035941022554,0.022831141788102,0.1030205139791357,0.0043685726797242,-0.0595755191214765,0.0107512120087787,-0.0582250651469857,-0.1221691569481865,-0.0518424258179312,0.0042504754068942,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.5,1.91,25.01,12508.0,209.0,-347.0,1.0,31.61,292.0,209.0,4.0,224.0,0.22,0.08,224.0,-2.0,86.0,164.0,0.0,-403.0,1.0,86.0,68.16,1181792.11,17.11,1.0,0.23,1.31,15495.2,0.0,4.16,2.43,1002914,2.45,93.62,0,5989529,10.19,2535800,5.25,-1545659,16884741,0,-313105,5127103,47.25,6.84,782664,15950,3.78,11.27,24193987,35380158,152.32,1642341,18.31,3.66,2.73,2.73,14476983,36.29,2.29,5.7,0,818270,15784,4306794,1430408,-3181169,10560380,17784274,116.12,26560429,68.11,4.65,27266736,30841081,0.52,-274778,0,0,100,0,30,3.8,0,1.76,1,0,21.44,88.75,266.4,8.66,0.13,0.21,0.56,0.54,30,6.59,0,1,14.29,8,0.15,0,28,0,85.44,10.0,0,0,0,1
6281,0.0271406043343694,0.0235467865449066,0.0210605045965769,0.057392088028439,0.0388484227196875,0.0289756184619233,0.0368223083740009,0.0085969390256178,-0.0012758652321462,0.0065708246799312,0.0005664973639816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9,0.3,12.88,4.0,17.0,2.0,1.0,13.32,99.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,5.0,1.0,19.0,86.67,313.61,0.02,0.0,0.01,0.0,0.0,0.0,0.44,0.0,1119506,3.42,56.33,0,1474147,10.88,0,3.83,0,125827,40646,0,3126448,82.66,12.61,-319896,3579,21.87,18.24,8556432,8330448,133.42,1508431,20.06,170.39,5.95,5.95,3700499,9.31,3.52,3.81,0,0,2120173,2325992,400931,-295387,1009689,2394784,120.77,5119398,75.33,3.04,10465794,6182603,0,0,7.69,0,100.0,3,38.46,6.31,0,10.66,1,0,18.46,96.58,64.26,23.24,0.4,0.29,2.63,3.07,38.46,8.57,0,1,10.0,9,0.9,0,11.1,0,83.32,15.0,1,0,0,0
6282,0.0644230046603155,0.0684020532968096,0.0806439575874895,0.1268858253950611,0.0404525655096208,0.0304232383994326,0.0409991128857246,-0.0220102552251248,-0.032039582335313,-0.0214637078490209,-0.0054881972021399,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.7997,23.0,1.61,19.69,8606.0,1201.0,-105.0,1.0,20.62,517.0,1201.0,11.0,0.0,0.13,0.17,0.0,-5.0,1096.0,169.0,0.0,-390.0,1.0,1096.0,79.09,198987.93,6.66,0.0,0.28,1.96,3907.62,21.0,0.94,0.0,-358838,1.4,104.57,0,4372680,16.62,2973624,0.6,-71714,5547774,0,-31707,4099348,85.81,2.49,1469485,16460,-2.73,16.02,8214366,13432146,94.3,1507592,23.74,3.5,4.62,4.62,9877682,14.0,0.94,3.91,0,749923,633346,4830867,58895,-1212543,4166337,5166931,139.45,13138775,63.72,2.98,9780853,18322474,0.48,-8074,27.27,0,100,35,36.36,10.32,0,7.58,0,14,9.11,97.4,37.68,23.61,0.63,0.32,2.75,1.32,36.36,5.54,1,1,5.88,7,0.45,0,7.25,0,138.9,17.0,0,1,0,0
6283,0.0744839907964365,0.1122416387232181,0.0783215658794405,0.1691605972850124,0.0580210730492418,0.0325651643916825,0.0821039461169683,-0.0366555334393341,-0.0621114420968934,-0.0125726603716075,0.0140861135033458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,4.25,42.46,6778.0,1709.0,1.0,1.0,42.5,148.0,1709.0,7.0,0.0,0.77,0.2,0.0,2.0,1710.0,156.0,0.0,2.0,1.0,1710.0,57.11,266333.38,33.27,0.0,0.38,2.3,6129.83,13.0,0.04,0.0,-242452,4.64,136.36,-55567,606899,0.0,139300,-11.78,-101795,727868,439575,-29604,279411,0,-6.8,55956,11993,-23.1,13.42,1156374,8134885,46.8,336505,0.0,3.96,0,0,1652029,28.71,-4.35,-9.95,0,118939,105884,280670,-157338,-37990,-35107,409266,174.39,1049608,38.2,-9.27,1335541,1830371,1.01,8377,11.11,0,100,92,55.56,6.0,0,13.69,1,95,11.53,95.24,0.0,43.39,5.46,0.02,8.46,6.83,55.56,0.0,0,1,0,7,4.63,0,0.0,0,138.75,12.0,0,0,0,1
6285,0.0432869857162452,0.0303363865837375,0.0018665270678009,0.073850792926394,0.03202187262071,0.0410078438203032,0.0499639158003848,0.0014580654105612,0.0104440366101544,0.019400108590236,-0.0013441300301746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,61.0,0.89,22.89,5355.0,2.0,5.0,1.0,23.34,397.0,2.0,0.0,4.0,0.07,0.0,1.0,1.0,8.0,65.0,0.0,5.0,1.0,8.0,76.57,325925.11,5.39,2.0,0.09,1.21,3956.14,0.0,0.43,0.02,-977539,1.85,77.93,0,3418752,19.29,1544207,1.41,-646900,11759834,156672,-80371,13576600,67.57,2.93,588283,14609,-4.72,10.99,27456389,30203464,154.99,2956110,4.91,4.92,3.29,3.29,10294982,12.45,1.24,1.93,0,1345398,1552856,3383178,433624,-646100,8479637,12638076,145.57,20704491,59.57,1.83,30846123,30139874,0.38,-76913,33.33,0,100,23,44.44,9.83,0,0.97,2,1,18.19,96.3,158.25,24.68,2.47,3.33,0.39,9.77,44.44,12.5,0,7,0,6,3.73,0,14.39,0,1661.4,17.0,0,0,0,1
6288,0.088555088053556,0.1031714909582846,0.1746939745381882,0.2722968742975153,0.1656451714472865,0.1051940006362778,0.1723598551254245,-0.0180966147966728,-0.0785477856076815,-0.0113819311185348,-0.0102139320176004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.989,22.05,1.67,19.71,6323.0,-190.0,1.0,-1.0,19.73,195.0,-190.0,1.0,0.0,0.27,0.04,0.0,1.0,-189.0,124.0,0.0,1.0,-1.0,-189.0,80.05,141794.54,13.84,0.0,0.21,1.96,2780.72,52.0,0.02,0.0,-114573,2.3,92.34,-150433,1515856,43.02,242000,3.1,-83200,712145,100880,-12571,1420300,675.12,0.23,671223,597,-4.63,20.65,1451658,5514372,88.83,321245,23.1,4.64,2.23,2.23,2118510,29.01,0.1,1.29,0,89810,96463,1034054,56629,-269047,285536,819372,153.22,2472683,59.36,0.99,1829532,3788752,0.61,-10452,44.44,0,100,9,44.44,7.0,0,0.42,2,0,14.48,100.0,0.82,24.64,2.32,0.23,0.17,3.49,44.44,11.36,0,1,21.43,6,1.43,0,0.16,0,83.67,2.0,0,1,0,0
6405,0.0341600835662912,0.0051218003066454,-0.0193044572773496,0.0432514205905671,-0.026131054295719,-0.0134797268133344,0.0196052134661354,-0.0352223913199949,-0.0225710638376103,0.0105138764418595,-0.003610598290854,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.85,1.1,14.8,1096.0,33.0,2.0,2.0,14.96,66.0,36.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,0.0,0.0,2.0,1.0,35.0,84.6,25435.42,6.66,0.0,0.44,0.0,0.0,0.0,0.16,0.0,-887,0.88,311.5,0,663660,58.56,112814,-3.48,1128324,178015,0,1558500,3270,66.07,61.02,-5561,485,-0.32,20.93,187140,3016930,5.29,57775,12.09,2.99,1.31,1.31,3092229,82.63,52.98,31.9,0,28321,451,265247,-8233,190592,1110676,15525,315.75,279415,13.7,28.04,236682,882242,0.58,0,0,0,87.5,10,42.86,9.0,0,65.18,1,0,22.23,98.21,5.59,13.61,15.88,0.03,56.25,3.07,42.86,5.32,0,1,33.33,8,2.67,0,1.12,0,85.8,7.0,0,1,0,0
6409,0.0136279975580209,-0.0101321160741634,0.0874851414669792,0.1260564405710867,0.1277539014246957,0.0912318851116597,0.1161111091566806,0.0153254584116299,-0.021196557901406,0.0036826661436149,-0.0031135266845668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,788186.0,1080.0,0.25,78.98,50.0,12.0,0.0,2.0,79.26,87.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,30.0,20.73,54074.39,0.23,1.0,0.01,0.0,0.0,0.0,0.0,0.28,573965,26.84,91.31,0,5759616,47.39,0,16.67,-434045,2714329,29824,3177,1998455,87.07,21.45,609356,37373,6.17,25.69,5589446,117578555,107.56,678013,16.68,5.95,1.75,1.75,3246880,24.45,8.08,16.58,0,293969,207712,209519,1254160,-295736,2884244,3604527,114.44,9306175,68.47,13.82,7521619,10650272,0.61,-14162,12.5,0,100.0,25,37.5,9.0,0,0.0,0,6,18.14,87.5,115,18.23,0.49,1.28,0.0,1.46,37.5,4.16,0,1,16.67,7,0.62,0,14.4,0,83.6,6.0,0,1,0,0
6412,0.024317340022798,0.0172471396500532,0.0385070995235942,0.0627184679290866,0.051992873803049,0.0367774897931265,0.0491529590319083,0.0135917458967604,-0.0016236381131621,0.0107518311256196,-0.0061594502406,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,0.0013,65.3,0.52,48.02,761.0,137.0,7.0,2.0,48.44,392.0,197.0,0.0,0.0,0.01,0.0,0.0,1.0,144.0,6.0,0.0,7.0,2.0,204.0,51.49,49912.62,0.78,0.0,0.06,0.79,393.53,5.0,0.42,0.0,113661,3.0,71.28,0,896946,10.03,0,8.24,-1277017,11093915,74341,-56136,7318193,72.72,12.45,800960,4379,0.64,17.23,16229805,28391443,194.15,1763609,22.14,3.76,5.52,5.52,7031675,20.2,4.5,8.12,0,911605,82085,238833,1615376,-1021225,4336951,11123824,115.21,17693566,65.41,6.32,19608790,20384225,0.96,-9962,0,0,100,1,42.86,10.29,0,6.36,2,10,12.02,97.14,197.26,60.29,1.38,2.13,2.2,5.01,42.86,13.47,0,1,0,5,1.86,261.89,39.08,0,557.1,7.0,0,1,0,0
